date,order_id,customer_id,product,product_sku,price,quantity,coupon_code,shipping_city,payment_method,sales_channel,shipping_cost
2025-04-03 15:52,ORD000001,CUST0244,Gym Gloves,SPO-GG-0028,113.3,3,NONE,Hamilton,Google Pay,Mobile,5.78
2024-10-03 08:11,ORD000002,CUST0271,Notebook Set,OFF-NS-0031,196.64,1,NONE,Guelph,Google Pay,Mobile,6.36
2024-07-08 21:46,ORD000003,CUST0277,Notebook Set,OFF-NS-0031,181.54,2,NONE,Kitchener,Debit,Mobile,8.32
2024-01-21 16:38,ORD000004,CUST0192,Lip Balm,BEA-LB-0018,42.84,1,FLASH5,Burlington,Apple Pay,Web,9.04
2025-05-23 15:46,ORD000005,CUST0127,Dish Towels,HOM-DT-0011,43.1,4,NONE,Brampton,Debit,Mobile,9.77
2024-04-15 11:53,ORD000006,CUST0011,Pasta,GRO-P-0021,7.64,4,NONE,Kingston,Google Pay,Web,9.57
2025-12-27 19:56,ORD000007,CUST0113,LED Bulb Pack,HOM-LBP-0007,20.29,4,NONE,Sudbury,Credit Card,Marketplace,9.4
2025-01-14 20:40,ORD000008,CUST0118,Moisturizer,BEA-M-0014,17.44,1,NONE,Ottawa,Credit Card,Mobile,9.45
2025-08-15 15:34,ORD000009,CUST0037,Vacuum Filters,HOM-VF-0008,33.51,3,NONE,Kingston,Google Pay,Web,9.2
2024-02-02 14:22,ORD000010,CUST0249,Portable SSD,ELE-PS-0006,129.54,3,VIP20,Guelph,Debit,Web,8.27
2025-04-06 10:00,ORD000011,CUST0296,Granola,GRO-G-0023,9.24,1,NONE,Sudbury,Apple Pay,Mobile,11.51
2025-04-05 10:31,ORD000012,CUST0209,Waterproof Jacket,SPO-WJ-0029,78.38,2,NONE,Niagara Falls,Debit,Mobile,11.16
2025-10-16 18:28,ORD000013,CUST0221,Waterproof Jacket,SPO-WJ-0029,87.01,1,WELCOME10,Brampton,PayPal,Web,10.43
2025-10-07 19:27,ORD000014,CUST0240,Desk Organizer,OFF-DO-0035,57.29,4,NONE,Oakville,Credit Card,Mobile,8.11
2024-08-12 08:56,ORD000015,CUST0207,Sunscreen,BEA-S-0017,34.77,1,NONE,Ottawa,PayPal,Mobile,10.72
2025-10-10 21:36,ORD000016,CUST0099,Gel Pens,OFF-GP-0032,39.2,1,NONE,Waterloo,Debit,Web,10.19
2024-08-20 11:48,ORD000017,CUST0217,LED Bulb Pack,HOM-LBP-0007,20.57,1,NONE,Hamilton,Debit,Web,6.12
2024-04-22 09:01,ORD000018,CUST0128,Desk Organizer,OFF-DO-0035,46.2,5,NONE,Barrie,Credit Card,Web,8.72
2025-11-14 17:31,ORD000019,CUST0051,Phone Charger,ELE-PC-0003,26.25,1,NONE,Oshawa,Credit Card,Web,9.8
2024-10-06 12:51,ORD000020,CUST0122,Moisturizer,BEA-M-0014,20.45,1,NONE,Mississauga,Debit,Web,11.8
2025-04-08 20:02,ORD000021,CUST0247,Mechanical Keyboard,OFF-MK-0033,128.62,1,NONE,Niagara Falls,Debit,Web,10.4
2025-05-03 08:39,ORD000022,CUST0085,Olive Oil,GRO-OO-0022,23.22,1,NONE,Ottawa,Apple Pay,Mobile,8.53
2024-10-24 10:06,ORD000023,CUST0136,USB-C Cable,ELE-UC-0004,112.41,1,NONE,Burlington,Apple Pay,Mobile,9.43
2024-09-10 19:04,ORD000024,CUST0285,Pasta,GRO-P-0021,7.29,1,FLASH5,Oakville,Apple Pay,Web,9.52
2024-02-23 15:32,ORD000025,CUST0152,Olive Oil,GRO-OO-0022,21.46,3,SAVE15,Kitchener,Debit,Mobile,9.86
2024-06-01 20:17,ORD000026,CUST0278,Cycling Lights,SPO-CL-0030,150.0,3,NONE,Sudbury,Credit Card,Web,10.08
2025-08-02 08:13,ORD000027,CUST0026,Desk Organizer,OFF-DO-0035,43.19,1,NONE,Ottawa,Google Pay,Marketplace,6.89
2025-04-14 14:21,ORD000028,CUST0272,Kitchen Scale,HOM-KS-0009,71.35,1,NONE,Whitby,Debit,Mobile,5.69
2024-10-10 22:32,ORD000029,CUST0042,Lip Balm,BEA-LB-0018,39.1,5,NONE,Whitby,Debit,Mobile,8.56
2024-06-06 20:45,ORD000030,CUST0035,Dish Towels,HOM-DT-0011,52.18,1,STUDENT8,Thunder Bay,Debit,Mobile,9.97
2024-09-09 12:31,ORD000031,CUST0292,Olive Oil,GRO-OO-0022,23.07,3,NONE,Brampton,Debit,Mobile,10.28
2024-11-18 15:45,ORD000032,CUST0042,Wireless Earbuds,ELE-WE-0002,94.97,1,NONE,Thunder Bay,Apple Pay,Web,12.29
2024-04-13 08:08,ORD000033,CUST0105,Pasta,GRO-P-0021,6.78,1,NONE,Guelph,PayPal,Web,9.03
2025-02-11 20:59,ORD000034,CUST0203,Desk Organizer,OFF-DO-0035,46.57,2,NONE,Guelph,Debit,Web,6.59
2025-10-15 19:50,ORD000035,CUST0162,Bluetooth Speaker,ELE-BS-0001,22.8,1,NONE,Barrie,Credit Card,Web,11.61
2024-07-08 20:21,ORD000036,CUST0289,Portable SSD,ELE-PS-0006,118.89,1,NONE,Barrie,Credit Card,Mobile,12.74
2025-07-25 19:43,ORD000037,CUST0110,Conditioner,BEA-C-0016,26.62,3,WELCOME10,Oshawa,Google Pay,Web,8.58
2025-10-17 20:49,ORD000038,CUST0179,Gym Gloves,SPO-GG-0028,107.14,1,FLASH5,Hamilton,Credit Card,Web,6.57
2024-12-11 12:25,ORD000039,CUST0146,Waterproof Jacket,SPO-WJ-0029,78.04,2,VIP20,Windsor,Debit,Web,9.63
2024-04-05 21:53,ORD000040,CUST0155,Lip Balm,BEA-LB-0018,41.11,1,FREESHIP,Oshawa,Google Pay,Web,9.48
2024-09-03 10:11,ORD000041,CUST0154,Resistance Bands,SPO-RB-0026,87.58,1,NONE,Oshawa,Credit Card,Mobile,7.92
2025-07-04 11:32,ORD000042,CUST0060,Olive Oil,GRO-OO-0022,21.94,1,NONE,Guelph,Credit Card,Web,9.39
2025-10-20 17:31,ORD000043,CUST0145,Mechanical Keyboard,OFF-MK-0033,137.0,1,NONE,Guelph,Google Pay,Mobile,5.17
2024-06-08 18:19,ORD000044,CUST0105,Protein Bar Box,GRO-PBB-0024,21.56,2,VIP20,Kingston,PayPal,Marketplace,11.65
2025-07-30 08:39,ORD000045,CUST0027,Olive Oil,GRO-OO-0022,20.88,2,FREESHIP,Guelph,Credit Card,Mobile,8.14
2024-02-04 14:16,ORD000046,CUST0023,Dish Towels,HOM-DT-0011,42.34,1,NONE,Guelph,Credit Card,Web,5.72
2025-05-07 18:28,ORD000047,CUST0135,Portable SSD,ELE-PS-0006,126.53,1,BUNDLE12,Hamilton,Debit,Web,9.38
2024-07-10 10:48,ORD000048,CUST0219,Laptop Stand,OFF-LS-0036,178.74,2,FREESHIP,Oshawa,Google Pay,Web,8.15
2024-02-06 19:48,ORD000049,CUST0039,LED Bulb Pack,HOM-LBP-0007,21.57,1,NONE,Brampton,Debit,Web,9.55
2025-12-29 13:12,ORD000050,CUST0299,Gel Pens,OFF-GP-0032,37.58,2,NONE,Windsor,Google Pay,Marketplace,10.19
2025-07-17 10:57,ORD000051,CUST0066,Storage Bins,HOM-SB-0012,66.47,1,SAVE15,Oakville,Credit Card,Marketplace,8.23
2024-05-23 16:38,ORD000052,CUST0021,Sunscreen,BEA-S-0017,34.99,1,FLASH5,Windsor,PayPal,Mobile,11.89
2025-05-06 08:37,ORD000053,CUST0053,Mechanical Keyboard,OFF-MK-0033,138.36,4,VIP20,Waterloo,PayPal,Marketplace,10.29
2025-02-25 10:07,ORD000054,CUST0080,Wireless Earbuds,ELE-WE-0002,106.96,1,NONE,Thunder Bay,Debit,Mobile,11.47
2024-03-10 19:30,ORD000055,CUST0212,Conditioner,BEA-C-0016,25.57,3,SAVE15,London,Credit Card,Marketplace,10.33
2025-03-26 20:12,ORD000056,CUST0211,Portable SSD,ELE-PS-0006,115.14,3,NONE,Kingston,Debit,Marketplace,12.42
2024-07-09 19:48,ORD000057,CUST0056,Yoga Mat,SPO-YM-0025,108.78,1,FLASH5,London,Apple Pay,Mobile,6.87
2025-06-15 16:17,ORD000058,CUST0114,Yoga Mat,SPO-YM-0025,108.14,3,NONE,Niagara Falls,Debit,Web,10.0
2024-01-12 17:31,ORD000059,CUST0157,Desk Organizer,OFF-DO-0035,50.86,2,FREESHIP,Windsor,Debit,Mobile,11.38
2024-03-30 15:57,ORD000060,CUST0099,Mouse Pad,OFF-MP-0034,214.7,3,NONE,Toronto,Apple Pay,Web,5.63
2025-07-11 10:05,ORD000061,CUST0036,Water Bottle,HOM-WB-0010,14.14,2,NONE,Guelph,PayPal,Mobile,6.51
2024-09-07 20:04,ORD000062,CUST0205,Olive Oil,GRO-OO-0022,23.3,1,BUNDLE12,Whitby,Google Pay,Web,8.1
2024-10-08 22:24,ORD000063,CUST0060,Portable SSD,ELE-PS-0006,130.32,1,NONE,Toronto,PayPal,Marketplace,9.89
2025-02-08 14:05,ORD000064,CUST0136,Kitchen Scale,HOM-KS-0009,63.28,3,NONE,Sudbury,Credit Card,Web,8.82
2024-05-24 12:13,ORD000065,CUST0223,LED Bulb Pack,HOM-LBP-0007,21.85,3,WELCOME10,Thunder Bay,PayPal,Marketplace,10.22
2024-02-03 19:30,ORD000066,CUST0262,Laptop Stand,OFF-LS-0036,187.1,1,BUNDLE12,Oakville,Credit Card,Web,7.88
2024-08-23 12:29,ORD000067,CUST0098,Resistance Bands,SPO-RB-0026,68.54,1,STUDENT8,Sudbury,PayPal,Mobile,8.54
2025-07-31 18:50,ORD000068,CUST0001,Pasta,GRO-P-0021,7.03,3,NONE,Oakville,Google Pay,Web,11.14
2024-11-03 16:37,ORD000069,CUST0221,Moisturizer,BEA-M-0014,17.15,1,VIP20,Windsor,Credit Card,Web,13.57
2024-07-02 08:09,ORD000070,CUST0161,Olive Oil,GRO-OO-0022,24.44,3,NONE,Thunder Bay,Credit Card,Mobile,10.7
2024-02-12 18:50,ORD000071,CUST0159,Olive Oil,GRO-OO-0022,22.77,1,NONE,Whitby,Apple Pay,Web,7.97
2024-07-13 10:26,ORD000072,CUST0152,Running Socks,SPO-RS-0027,114.35,1,NONE,Burlington,Google Pay,Web,5.54
2025-06-17 12:05,ORD000073,CUST0216,Shampoo,BEA-S-0015,28.56,5,NONE,Kitchener,Apple Pay,Mobile,11.62
2024-03-13 17:56,ORD000074,CUST0292,Lip Balm,BEA-LB-0018,38.89,2,NONE,Thunder Bay,PayPal,Web,12.27
2025-09-30 15:21,ORD000075,CUST0001,Bluetooth Speaker,ELE-BS-0001,25.79,2,NONE,Oshawa,PayPal,Mobile,9.52
2024-01-07 10:46,ORD000076,CUST0221,Gel Pens,OFF-GP-0032,42.64,2,NONE,Kitchener,Google Pay,Web,8.93
2024-01-15 16:54,ORD000077,CUST0227,Running Socks,SPO-RS-0027,105.36,1,NONE,Barrie,Apple Pay,Web,8.8
2025-06-20 08:12,ORD000078,CUST0243,Portable SSD,ELE-PS-0006,140.53,1,NONE,Whitby,Debit,Web,8.91
2025-04-14 09:46,ORD000079,CUST0264,Mechanical Keyboard,OFF-MK-0033,134.84,1,WELCOME10,Cambridge,Google Pay,Web,6.51
2026-01-07 18:55,ORD000080,CUST0121,Resistance Bands,SPO-RB-0026,84.6,1,BUNDLE12,Mississauga,PayPal,Web,8.24
2025-05-30 21:10,ORD000081,CUST0076,Kitchen Scale,HOM-KS-0009,64.6,2,NONE,Kitchener,Credit Card,Web,8.56
2024-08-10 13:01,ORD000082,CUST0244,Face Cleanser,BEA-FC-0013,22.17,1,NONE,Waterloo,Google Pay,Web,11.87
2025-07-27 16:01,ORD000083,CUST0213,Resistance Bands,SPO-RB-0026,87.85,4,NONE,Barrie,Google Pay,Web,8.95
2025-12-24 08:19,ORD000084,CUST0254,Sunscreen,BEA-S-0017,37.15,2,VIP20,Burlington,Apple Pay,Web,8.68
2024-09-15 08:05,ORD000085,CUST0003,Running Socks,SPO-RS-0027,101.66,1,NONE,Hamilton,Credit Card,Mobile,6.84
2025-08-18 08:36,ORD000086,CUST0091,Phone Charger,ELE-PC-0003,28.58,1,STUDENT8,Waterloo,Google Pay,Web,13.98
2025-08-03 21:59,ORD000087,CUST0286,Waterproof Jacket,SPO-WJ-0029,75.14,2,NONE,Ottawa,Debit,Web,9.32
2025-07-25 20:07,ORD000088,CUST0069,Cycling Lights,SPO-CL-0030,138.34,1,WELCOME10,Barrie,Apple Pay,Marketplace,7.81
2025-01-13 21:25,ORD000089,CUST0259,Kitchen Scale,HOM-KS-0009,64.1,3,BUNDLE12,Barrie,Apple Pay,Web,8.42
2025-11-21 20:37,ORD000090,CUST0244,Green Tea,GRO-GT-0020,9.21,1,NONE,London,Apple Pay,Mobile,9.95
